bpm,spo2
88.0,99.54225
90.5,99.016626
91.33333333333333,99.016626
91.75,99.016626
93.0,99.016626
93.0,99.016626
93.0,99.016626
93.0,99.016626
90.5,99.59255399999999
88.0,99.59255399999999
84.25,99.24465
80.5,99.24465
79.25,99.24465
79.25,99.796266
80.5,99.796266
81.75,99.796266
83.0,99.796266
83.0,99.796266
83.0,99.796266
83.0,99.796266
83.0,99.796266
83.0,99.796266
83.0,99.796266
83.0,99.796266
83.0,99.796266
83.0,99.796266
83.0,99.796266
83.0,99.796266
83.0,99.796266
81.75,99.59255399999999
80.5,99.59255399999999
78.5,99.796266
76.5,99.796266
75.75,99.796266
75.75,99.796266
80.25,99.796266
84.75,99.796266
89.25,99.796266
89.25,99.796266
85.5,99.796266
81.75,99.796266
78.0,99.796266
78.0,99.796266
78.0,99.796266
78.0,99.796266
78.0,99.796266
77.25,99.855786
76.5,99.855786
75.75,99.855786
75.0,99.855786
75.0,99.519096
79.5,99.855786
84.0,99.855786
88.5,99.727416
93.0,98.651946
93.0,98.651946
96.5,98.651946
96.5,98.651946
96.5,98.651946
96.5,98.651946
93.0,98.651946
93.0,98.651946
93.0,98.651946
94.75,98.651946
96.5,98.651946
98.25,98.651946
100.0,98.651946
100.0,98.651946
100.0,98.651946
100.0,98.651946
98.25,97.3998
96.5,97.3998
94.75,97.3998
93.0,98.500104
93.0,97.3998
93.0,97.3998
93.0,97.3998
93.0,97.3998
93.0,97.3998
93.0,97.3998
93.0,97.3998
93.0,97.3998
93.0,97.3998
90.5,97.3998
88.0,97.3998
85.5,97.3998
83.0,97.3998
83.0,97.3998
83.0,97.3998
83.0,97.3998
83.0,97.3998
83.0,97.3998
83.0,97.3998
81.0,97.605714
79.0,97.605714
76.0,97.605714
74.0,97.605714
74.0,97.605714
77.25,97.605714
81.5,97.605714
83.5,97.605714
85.5,97.605714
84.25,97.605714
83.0,97.605714
81.0,98.794776
79.0,98.794776
77.0,98.794776
75.0,98.794776
75.0,98.794776
75.0,98.794776
75.0,98.794776
75.0,98.794776
75.0,98.794776
75.0,98.794776
75.0,99.727416
75.0,99.727416
74.0,99.727416
74.0,99.727416
74.0,99.727416
74.0,99.727416
75.0,99.727416
78.25,99.727416
80.25,99.727416
82.25,99.727416
84.25,99.727416
80.0,99.758856
77.0,99.758856
74.0,99.758856
71.0,99.758856
71.0,99.758856
71.0,99.758856
71.0,99.758856
71.0,99.758856
71.0,99.758856
71.0,99.54225
71.0,99.54225
71.0,99.54225
71.0,99.519096
71.0,99.519096
71.0,99.519096
75.25,99.519096
78.25,99.519096
81.25,99.519096
84.25,99.519096
83.0,99.016626
83.0,99.016626
83.0,99.135144
83.0,99.135144
81.75,99.135144
78.75,99.135144
75.75,99.135144
72.75,99.135144
72.75,99.135144
73.75,99.519096
74.75,99.519096
75.75,99.519096
74.0,99.519096
74.0,98.889096
74.0,98.889096
77.25,98.889096
81.5,98.889096
84.75,98.889096
86.75,98.889096
85.5,98.889096
84.25,98.889096
83.0,98.452434
81.0,98.452434
79.0,98.452434
77.0,98.452434
75.0,98.452434
75.0,98.452434
75.0,98.452434
75.75,97.335786
75.75,98.889096
75.75,98.889096
75.75,98.889096
74.0,98.889096
73.0,98.889096
72.0,98.889096
75.25,99.016626
79.5,99.016626
83.75,99.016626
88.0,99.345144
83.75,98.889096
82.5,98.889096
81.25,98.889096
81.25,98.452434
84.25,98.452434
81.25,98.452434
78.25,98.452434
74.0,98.452434
71.0,98.452434
72.75,97.335786
73.75,99.8058
74.75,99.8058
75.75,99.8058
75.0,99.727416
75.75,99.519096
76.5,99.519096
81.0,99.519096
81.75,99.519096
84.25,99.519096
86.75,99.519096
85.5,99.519096
85.5,99.519096
83.0,99.519096
80.5,99.519096
78.0,99.519096
78.0,99.855786
78.0,99.855786
78.0,99.855786
78.0,99.855786
78.0,99.519096
78.0,99.519096
78.0,99.519096
78.0,99.854424
78.0,99.854424
78.0,99.854424
78.0,99.854424
78.0,99.854424
78.0,99.854424
78.0,99.854424
78.0,99.854424
78.0,99.854424
78.0,99.854424
78.0,99.854424
78.0,99.854424
78.0,99.854424
78.0,99.855786
78.0,99.855786
78.0,99.855786
78.0,99.855786
78.0,99.855786
78.0,99.855786
78.0,99.855786
78.0,99.855786
78.0,99.855786
78.0,99.855786
78.0,99.855786
78.0,99.855786
78.0,99.855786
78.0,99.855786
78.0,99.855786
78.0,99.855786
78.0,99.855786
78.0,99.855786
78.0,99.855786
80.5,99.84405
83.0,99.84405
79.0,99.84405
75.0,99.84405
68.5,99.84405
62.0,99.855786
62.0,99.84405
62.0,99.84405
62.0,99.84405
66.0,99.84405
70.0,99.59255399999999
70.0,99.84405
70.0,99.84405
66.0,99.84405
62.0,99.84405
62.0,99.84405
62.0,99.84405
62.0,99.84405
62.0,99.84405
62.0,99.84405
62.0,99.84405
62.0,99.84405
62.75,99.59255399999999
63.5,99.59255399999999
64.25,99.59255399999999
63.0,99.712434
61.75,99.016626
60.5,99.016626
59.25,99.016626
60.0,99.016626
60.0,99.016626
64.5,99.373746
69.0,99.373746
73.5,99.373746
78.0,99.373746
78.0,99.373746
78.0,99.373746
78.0,99.373746
78.0,99.373746
78.0,99.373746
78.0,97.605714
78.0,97.605714
78.0,97.605714
78.0,99.612984
78.0,99.612984
78.0,99.612984
77.25,98.651946
77.25,99.612984
77.25,99.612984
77.25,99.612984
81.75,99.612984
84.25,99.612984
86.75,99.612984
89.25,99.54225
88.0,99.612984
85.5,99.612984
83.0,99.612984
80.5,99.612984
78.0,99.612984
77.25,99.59255399999999
76.5,99.59255399999999
75.75,99.59255399999999
75.0,99.59255399999999
75.0,99.59255399999999
75.0,99.462504
75.0,99.462504
75.0,99.462504
75.0,99.275976
75.0,99.275976
75.0,99.275976
75.0,99.275976
78.25,99.275976
81.5,99.275976
84.75,99.275976
88.0,99.275976
84.75,99.275976
81.5,99.275976
78.25,99.275976
75.0,99.59255399999999
75.0,99.59255399999999
75.0,99.59255399999999
75.0,99.59255399999999
75.0,99.519096
75.0,99.519096
75.0,99.519096
75.0,99.796266
75.0,99.519096
75.0,99.519096
75.0,99.519096
78.25,99.519096
81.5,99.519096
84.75,99.519096
88.0,99.519096
84.75,99.519096
81.5,99.519096
78.25,99.519096
75.0,99.519096
75.0,99.59255399999999
75.0,99.59255399999999
75.0,99.59255399999999
75.0,99.59255399999999
75.0,99.275976
75.0,99.275976
75.0,99.275976
75.0,99.519096
75.75,99.674706
76.5,99.674706
81.0,99.674706
84.25,99.674706
86.75,99.674706
89.25,99.674706
88.0,99.674706
88.0,99.674706
85.5,99.674706
83.0,99.674706
80.5,99.674706
78.0,97.990506
78.0,97.990506
78.0,97.990506
78.0,97.990506
79.25,99.612984
79.25,97.3998
79.25,97.3998
79.25,97.3998
78.0,99.727416
78.0,99.727416
78.0,99.727416
81.75,99.727416
85.5,99.727416
89.25,99.727416
91.75,99.727416
90.5,99.727416
89.25,99.727416
85.5,99.727416
83.0,99.727416
80.5,99.727416
78.0,99.727416
78.0,99.727416
78.0,99.345144
78.0,99.345144
78.0,99.345144
78.0,99.796266
78.0,99.796266
78.0,99.796266
78.0,99.855786
78.0,99.796266
78.0,99.796266
78.0,99.796266
81.75,99.796266
85.5,99.796266
88.0,99.796266
90.5,99.796266
89.25,99.796266
85.5,99.796266
83.0,99.796266
80.5,99.796266
78.0,99.796266
78.0,99.796266
78.0,99.831474
78.0,99.831474
78.0,99.275976
78.0,99.275976
78.0,99.275976
78.0,99.275976
78.0,99.275976
78.0,99.275976
78.0,99.275976
78.0,99.275976
81.75,99.275976
84.25,99.275976
84.25,99.275976
84.25,99.275976
80.5,99.275976
78.0,99.275976
78.0,99.275976
78.0,99.275976
78.0,99.275976
77.25,99.831474
76.5,99.831474
76.5,99.169194
76.5,99.169194
77.25,99.169194
77.25,99.169194
77.25,99.169194
77.25,99.169194
77.25,99.169194
78.0,99.169194
80.5,99.169194
83.0,99.169194
85.5,99.169194
88.0,99.169194
85.5,99.169194
83.0,99.169194
80.5,99.169194
78.0,99.169194
78.0,97.605714
78.0,97.605714
78.0,97.605714
78.0,97.605714
78.0,99.169194
77.25,98.928594
76.5,98.928594
75.75,98.928594
75.75,99.169194
76.5,99.169194
77.25,99.169194
81.75,99.169194
81.75,99.169194
84.25,99.169194
86.75,99.169194
85.5,99.169194
88.0,99.169194
86.75,99.169194
85.5,99.169194
83.0,99.169194
80.5,97.605714
79.25,97.605714
78.0,97.605714
78.0,97.605714
78.0,97.605714
78.0,97.605714
78.0,97.605714
78.0,99.275976
78.0,97.802616
81.75,97.802616
85.5,97.802616
89.25,97.802616
93.0,97.802616
91.75,97.802616
88.0,97.802616
84.25,97.802616
80.5,97.802616
78.0,97.802616
78.0,97.802616
78.0,97.802616
78.0,97.802616
78.0,97.990506
78.0,97.990506
78.0,97.990506
78.0,97.990506
77.25,99.373746
76.5,99.373746
75.75,99.373746
75.75,99.373746
80.25,99.373746
84.75,99.373746
89.25,99.373746
89.25,99.373746
85.5,99.373746
81.75,99.373746
78.0,99.373746
78.0,99.373746
78.0,99.373746
78.0,99.373746
78.0,99.373746
77.25,99.855786
76.5,99.855786
75.75,99.855786
75.0,99.855786
75.0,99.855786
75.0,99.855786
75.0,99.373746
75.0,99.373746
75.0,99.373746
75.0,99.373746
75.0,99.373746
75.0,99.373746
75.0,99.373746
78.25,99.373746
81.5,99.373746
81.5,99.373746
81.5,99.373746
78.25,99.373746
75.0,99.373746
75.0,97.990506
75.0,97.990506
75.0,97.990506
75.0,97.990506
75.0,97.990506
75.0,97.990506
75.0,99.727416
75.0,99.727416
75.0,99.727416
75.0,99.0534
75.0,98.33924999999999
75.0,98.33924999999999
78.25,98.33924999999999
81.5,98.33924999999999
84.75,98.33924999999999
88.0,98.33924999999999
88.0,98.33924999999999
86.75,98.33924999999999
85.5,98.33924999999999
84.25,98.33924999999999
81.0,98.651946
79.0,98.651946
77.0,98.651946
75.75,98.651946
75.75,99.8058
75.75,99.8058
75.75,99.8058
75.75,99.54225
76.5,99.54225
77.25,99.54225
