ir_data,red_data
81989,82026
123238,133221
122926,136205
122422,135521
122506,135597
122136,135072
121962,134633
121705,134155
121343,133388
120471,131361
119235,128620
120202,130005
121328,131390
122647,133148
123182,134029
123310,134223
123488,134498
123568,134637
123754,134880
123796,134986
123619,134758
123319,134347
122940,133828
122590,133255
122530,133078
122514,133135
122635,133339
122942,133721
123241,134112
123552,134496
123724,134654
123768,134663
123741,134625
123695,134444
123595,134331
123667,134392
123788,134449
123755,134546
123754,134433
123686,134435
123783,134639
124026,134899
124154,135087
124265,135275
124398,135498
124495,135577
124454,135610
124407,135562
124351,135555
124398,135650
124477,135734
124561,135820
124527,135846
124395,135742
124381,135676
124496,135859
124664,136028
124623,135969
124223,135502
123757,134843
123437,134459
123181,134049
123268,134049
123385,134261
123463,134429
123428,134489
123127,134018
122731,133472
122473,133077
122230,132707
122184,132548
122182,132592
122259,132660
122327,132708
122304,132735
122300,132695
122268,132649
122199,132599
122198,132471
122248,132647
122285,132642
122181,132452
122054,132226
122185,132392
122354,132723
122494,133039
122598,133138
122478,132994
122474,132923
122551,133048
122476,132973
122543,133022
122615,133158
122660,133201
122476,132868
122440,132745
122400,132642
122185,132219
122125,132079
122065,131986
122081,131980
122080,132008
122105,131957
122322,132310
122505,132558
122548,132584
122364,132262
122151,131906
121908,131535
121802,131285
121742,131150
121703,131139
121612,131003
121539,130924
121584,130973
121635,131040
121561,130936
121454,130749
121240,130330
121224,130332
121389,130631
121417,130736
121443,130739
121348,130578
121318,130561
121261,130465
121256,130429
121321,130516
121327,130623
121487,130844
121481,130868
121618,131109
121729,131332
121938,131720
122079,131937
122087,132029
122075,132061
122138,132161
122111,132172
122153,132203
122229,132392
122567,132913
122725,133151
122751,133164
123002,133545
123299,133992
123175,133941
122996,133690
122985,133687
123124,133890
123172,133947
123051,133740
122923,133625
122874,133550
122886,133597
122793,133459
122665,133368
122697,133411
122714,133451
123004,133812
123198,134124
123285,134179
123304,134289
123341,134406
123277,134262
123133,134010
122986,133816
122839,133618
122777,133447
122678,133221
122575,133084
122600,133058
122572,133076
122562,133030
122690,133227
122822,133443
122993,133662
123334,134113
123498,134310
123487,134266
123430,134205
123327,134087
123118,133827
122829,133377
122464,132853
122203,132426
122227,132505
122177,132454
122054,132289
122007,132188
122135,132398
122431,132864
122510,133069
122333,132841
121968,132306
121602,131704
121282,131168
121174,130864
121151,130849
120820,130313
120231,129399
120241,129305
120618,129881
120887,130292
120977,130400
120866,130050
120649,129399
120681,129204
120007,128321
118714,126493
118172,125631
117883,125060
117542,124595
117361,124231
116889,123407
116881,123320
118117,124685
119170,125993
119451,126472
119228,126252
119171,126147
119153,126098
119127,125979
119414,126209
119203,125913
118955,125568
118698,125208
118463,124921
118174,124587
118263,124636
118704,125149
119047,125584
119006,125612
118715,125205
118173,124560
117808,124014
117593,123741
117713,123844
118000,124219
117982,124224
117840,124112
117734,123910
117529,123641
117588,123658
117672,123748
117665,123743
117867,123894
117918,124029
117934,124021
117860,123877
117620,123599
117548,123440
117442,123294
117484,123301
117449,123265
117633,123454
117828,123699
117938,123892
117853,123829
117772,123751
117652,123528
117477,123349
117532,123361
117629,123531
117740,123667
117691,123641
117479,123337
117414,123208
117411,123269
117385,123302
117347,123184
117195,122980
117030,122697
116926,122524
116935,122596
117148,122854
117407,123306
117779,123841
117747,123851
117322,123232
116975,122680
116774,122371
116918,122565
117070,122707
117053,122696
116903,122496
116698,122254
116678,122180
116751,122308
116997,122729
116916,122607
116577,122173
116419,121971
116304,121777
116224,121656
116104,121487
116042,121399
115998,121325
115900,121207
115884,121214
115743,121019
115566,120837
115526,120728
115500,120686
115530,120717
115532,120759
115512,120714
115540,120731
115666,120918
115730,121042
115840,121200
115947,121371
115913,121372
115811,121260
115931,121367
116101,121689
116362,122030
116558,122355
116820,122726
116994,123004
116842,122883
116695,122617
116625,122526
116493,122403
116413,122261
116328,122147
116551,122483
116526,122455
116665,122574
116715,122671
116721,122730
116697,122695
116500,122359
116256,122026
116221,121916
115971,121602
115594,121053
115432,120784
115341,120635
115393,120659
115542,120866
115655,121014
115745,121119
115790,121195
115745,121171
115615,121078
115669,121091
115602,121022
115519,120905
115594,120984
115809,121312
116078,121764
116358,122127
116378,122183
116106,121843
115905,121495
115751,121344
115748,121352
115830,121407
115935,121549
116078,121766
116119,121846
115982,121675
115796,121378
115557,121099
115401,120878
115321,120766
115307,120705
115442,120926
115354,120818
115332,120764
115267,120723
115258,120693
115185,120577
115150,120494
115161,120522
115163,120545
115461,120911
115589,121122
115587,121140
115358,120820
115180,120611
115211,120590
115230,120594
115370,120824
115542,121078
115469,121012
115558,121131
115650,121338
115653,121308
115808,121559
115841,121580
115807,121543
115688,121394
115675,121368
115724,121465
115816,121616
115851,121660
115905,121774
115917,121831
115808,121685
115635,121387
115617,121368
115611,121385
115749,121600
115827,121713
115948,121884
115978,122008
115941,121989
115858,121859
115641,121554
115523,121326
115349,121034
115425,121127
115600,121397
115643,121515
115582,121418
115571,121417
115562,121449
115608,121558
115775,121792
115636,121640
115647,121627
115602,121581
115586,121554
115727,121825
115740,121852
115877,122042
115929,122158
116132,122446
116360,122834
116332,122852
115924,122207
115337,121355
114957,120713
114690,120277
114590,120119
114722,120197
115241,120908
115461,121300
115166,120895
115086,120704
115140,120784
115209,120940
115225,120987
115197,121002
115039,120686
114873,120466
114615,120044
114559,119924
114592,119914
114809,120215
115043,120595
115225,120901
115372,121161
115370,121168
115235,121039
115178,120918
115158,120855
115014,120704
115010,120715
114993,120667
115068,120743
114973,120680
115019,120743
115103,120907
114960,120713
114687,120255
114655,120179
114717,120273
114770,120394
114784,120375
114870,120513
114773,120415
114691,120290
114630,120166
114419,119843
114345,119725
114319,119692
114466,119923
114530,119975
114516,120033
114665,120238
114546,120096
114309,119729
114130,119434
114052,119253
114044,119261
114223,119489
114338,119684
114302,119627
114294,119597
114201,119461
114220,119516
114252,119571
114066,119392
113938,119153
113939,119200
113979,119236
113937,119128
114213,119586
114360,119884
114042,119444
113603,118709
113584,118630
113694,118815
113618,118669
113353,118375
113362,118372
113611,118731
114199,119568
114917,120747
115500,121839
115875,122451
115985,122676
116048,122809
116363,123291
116283,123250
115766,122375
115475,121976
114527,120636
113665,119451
113219,118763
113479,118975
114118,119737
115074,121206
115383,121800
115376,121858
115472,121968
115768,122445
116211,123187
116377,123484
116632,123922
116815,124225
116928,124380
117232,124819
117312,124996
117402,125078
117526,125207
117673,125501
117721,125612
117693,125538
117734,125578
117656,125453
117650,125430
117778,125585
117779,125667
117811,125627
117690,125458
117764,125499
117599,125187
117198,124510
116602,123555
116125,122791
115978,122407
115938,122241
115947,122256
115927,122231
115910,122111
115783,121892
115675,121668
115530,121428
115523,121373
115685,121578
115968,122056
116420,122730
116894,123472
117261,124079
117687,124823
117876,125148
117802,125047
117578,124700
117348,124311
117250,124098
117115,123861
116940,123555
116704,123196
116609,122933
116560,122841
116517,122751
116377,122564
116333,122402
116588,122720
116721,122979
116969,123345
117057,123537
116937,123372
116893,123265
116838,123071
117180,123684
117676,124488
118078,125293
118422,125928
118719,126427
118907,126774
118802,126577
118618,126273
118312,125728
117799,124879
117528,124345
117406,124133
117263,123816
116748,123038
115754,121452
115029,120197
114410,119190
114149,118743
113747,118087
113232,117430
112344,116404
112249,116136
112466,116237
112763,116452
113861,117668
114503,118595
114582,118826
114533,118794
114607,118924
114676,119022
115004,119496
115333,120045
115361,120154
115149,119862
115097,119750
115036,119655
115209,119904
115428,120304
115676,120720
116047,121385
116165,121651
115955,121335
115490,120592
115298,120261
115600,120739
116286,121860
116717,122609
117148,123331
117163,123378
116992,123071
116587,122386
116086,121541
115581,120673
115204,120037
115374,120193
115521,120425
115609,120518
115454,120261
115029,119577
114893,119327
115040,119567
115094,119602
115199,119696
115322,119842
115516,120169
115741,120522
115730,120490
115511,120177
115290,119766
115154,119494
115046,119328
114860,118986
114720,118754
114519,118470
114328,118105
114193,117826
114033,117597
114006,117526
114049,117573
114030,117565
114083,117605
113856,117308
113818,117125
113863,117187
113860,117176
113840,117138
113836,117115
113853,117162
113926,117260
113954,117358
114256,117804
114746,118599
115932,120687
116983,122834
117366,123531
117437,123684
117265,123430
116803,122691
116410,121953
116013,121205
115633,120515
115513,120260
115425,120097
115395,120018
115433,120053
115649,120286
115687,120427
115580,120242
115578,120209
115662,120365
115666,120332
115759,120493
115648,120338
115375,119898
115093,119422
114829,118926
114811,118809
114762,118753
114682,118581
114842,118768
114944,118963
115184,119370
115237,119475
115173,119393
115160,119355
115173,119350
115197,119428
115273,119612
115328,119685
115248,119602
115327,119690
115326,119734
115434,119855
